episode_name,scene_id,episode_id,object_category,changed_20260719_first_pass,changed_20260720_refined_1cm,changed_20260806_v2,final_value_revision
hc_find_nav_interact_108736689_177263340_ep1,108736689_177263340,1,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep3,108736689_177263340,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep4,108736689_177263340,4,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep8,108736689_177263340,8,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep13,108736689_177263340,13,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep14,108736689_177263340,14,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep16,108736689_177263340,16,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep19,108736689_177263340,19,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep24,108736689_177263340,24,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep0,108736779_177263484,0,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep1,108736779_177263484,1,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep2,108736779_177263484,2,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep4,108736779_177263484,4,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep8,108736779_177263484,8,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep11,108736779_177263484,11,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep14,108736779_177263484,14,couch,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_108736779_177263484_ep22,108736779_177263484,22,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep24,108736779_177263484,24,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736779_177263484_ep27,108736779_177263484,27,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep2,108736800_177263517,2,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep5,108736800_177263517,5,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep8,108736800_177263517,8,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep13,108736800_177263517,13,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep16,108736800_177263517,16,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep18,108736800_177263517,18,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep24,108736800_177263517,24,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep27,108736800_177263517,27,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736800_177263517_ep28,108736800_177263517,28,couch,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_108736884_177263634_ep2,108736884_177263634,2,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736884_177263634_ep8,108736884_177263634,8,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736884_177263634_ep9,108736884_177263634,9,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_108736884_177263634_ep17,108736884_177263634,17,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736884_177263634_ep20,108736884_177263634,20,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736884_177263634_ep28,108736884_177263634,28,bed,yes,no,no,20260719-first-pass
